 C:\WinTA100\DIL805.PRO\Data\Quenching\2_Isabelle_CQ60_Homogeneizado_30min_06.06.17.PAR
                Time - rel. Change in Length /  Temperature  /  Nominal Temperature 
                  s                %                    °C                    °C
   382         9.57876396        0.09340113       95.68991089       95.77561188
   383         9.60384655        0.09260169       96.03210449       96.02661896
   384         9.62892437        0.09366761       96.45465088       96.27728271
   385         9.65404034        0.09358767       96.60762024       96.52848053
   386         9.67909622        0.09377421       96.84235382       96.77900696
   387         9.70419216        0.09454700       97.07804871       97.03001404
   388         9.72928715        0.09366761       97.38758087       97.28089905
   389         9.75437737        0.09590604       97.55310059       97.53164673
   390         9.77945042        0.09465359       97.77090454       97.78257751
   391         9.80451298        0.09614588       98.19310760       98.03302765
   392         9.82954884        0.09513324       98.29495239       98.28346252
   393         9.85461998        0.09590604       98.49696350       98.53424835
   394         9.87969112        0.09691866       98.60485840       98.78500366
   395         9.90588093        0.09678543       98.97956848       99.04690552
   396         9.93094921        0.09833101       99.34524536       99.29753113
   397         9.95596886        0.09713185       99.65350342       99.54776764
   398         9.98107529        0.09945023       99.77021790       99.79895020
   399        10.00613594        0.09766481      100.07289886      100.04942322
   400        10.03120804        0.09921039      100.28833008      100.30010223
   401        10.05624962        0.09902386      100.63028717      100.55061340
   402        10.08135414        0.09889062      100.68467712      100.80162048
   403        10.10638332        0.10003648      100.89482117      101.05200958
   404        10.13142872        0.09966341      101.31964111      101.30242920
   405        10.15653038        0.10139552      101.62041473      101.55328369
   406        10.18162632        0.10064938      101.92233276      101.80429077
   407        10.20669174        0.10187519      101.91466522      102.05490875
   408        10.23178387        0.10123564      102.26697540      102.30584717
   409        10.25690079        0.10192849      102.49661255      102.55706787
   410        10.28196907        0.10243480      102.90377808      102.80780029
   411        10.30708408        0.10214167      103.15985870      103.05888367
   412        10.33213139        0.10374054      103.19631195      103.30944824
   413        10.35719681        0.10238150      103.49602509      103.56003571
   414        10.38223743        0.10480646      103.70875549      103.81040955
   415        10.40729237        0.10323423      104.17938995      104.06100464
   416        10.43236637        0.10517953      104.46092987      104.31175995
   417        10.45744324        0.10469988      104.73361206      104.56236267
   418        10.48250484        0.10459328      104.93826294      104.81318665
   419        10.50753021        0.10624545      105.11781311      105.06338501
   420        10.53256702        0.10493971      105.30492401      105.31364441
   421        10.55759525        0.10709818      105.63611603      105.56414795
   422        10.58262730        0.10589904      105.83442688      105.81432343
   423        10.60767269        0.10757785      106.27664948      106.06479645
   424        10.63278294        0.10675176      106.46838379      106.31606293
   425        10.65787220        0.10715149      106.48334503      106.56677246
   426        10.68293953        0.10843059      106.61723328      106.81744385
   427        10.70800114        0.10755121      106.96155548      107.06816101
   428        10.73306656        0.10949650      107.21677399      107.31868744
   429        10.75818825        0.10776439      107.45926666      107.56984711
   430        10.78325653        0.11000282      107.75668335      107.82057953
   431        10.80835056        0.10936327      107.98900604      108.07154846
   432        10.83342838        0.11024266      108.18508911      108.32222748
   433        10.85849857        0.11018936      108.57317352      108.57307434
   434        10.88359928        0.11024266      108.98607635      108.82409668
   435        10.90866089        0.11178823      109.12926483      109.07456970
   436        10.93370438        0.11058908      109.17424011      109.32514954
   437        10.95882702        0.11237449      109.49320984      109.57604980
   438        10.98391438        0.11138851      109.76972198      109.82713318
   439        11.00898266        0.11266761      109.97378540      110.07797241
   440        11.03402996        0.11264097      110.46882629      110.32840729
   441        11.05913162        0.11312063      110.62779999      110.57938385
   442        11.08421230        0.11392007      110.77946472      110.83021545
   443        11.10927105        0.11314728      111.14098358      111.08076477
   444        11.13434505        0.11559889      111.44269562      111.33163452
   445        11.15941906        0.11344041      111.54573822      111.58227539
   446        11.18451309        0.11562555      111.92653656      111.83318329
   447        11.20960045        0.11453297      111.95385742      112.08397675
   448        11.23467731        0.11525247      112.32449341      112.33466339
   449        11.25975037        0.11639833      112.59437561      112.58560181
   450        11.28480816        0.11567884      112.80003357      112.83611298
   451        11.30991936        0.11775738      113.02896118      113.08716583
   452        11.33496380        0.11610520      113.21709442      113.33772278
   453        11.36004162        0.11831699      113.69084167      113.58847046
   454        11.38509846        0.11709118      113.74033356      113.83896637
   455        11.41022015        0.11815710      114.06034088      114.09028625
   456        11.43526936        0.11842358      114.39620972      114.34077454
   457        11.46032524        0.11845022      114.64934540      114.59130096
   458        11.48537254        0.11986257      114.91348267      114.84184265
   459        11.51045799        0.11861011      115.11080170      115.09270477
   460        11.53554440        0.12050212      115.28577423      115.34333038
   461        11.56060410        0.11927631      115.43752289      115.59408569
   462        11.58568478        0.12119496      115.71832275      115.84486389
   463        11.61078072        0.12023564      116.18383026      116.09572601
   464        11.63586712        0.12124826      116.27851105      116.34673309
   465        11.66095066        0.12167463      116.64013672      116.59766388
   466        11.68605804        0.12127491      116.89587402      116.84864044
   467        11.71115208        0.12314027      117.14171600      117.09948730
   468        11.73629093        0.12204771      117.30891418      117.35099030
   469        11.76136112        0.12396635      117.71028137      117.60166168
   470        11.78645706        0.12300703      117.87828827      117.85260010
   471        11.81149387        0.12391306      118.13967133      118.10301208
   472        11.83654213        0.12415288      118.35797882      118.35337830
   473        11.86158943        0.12393971      118.73680115      118.60398102
   474        11.88666534        0.12521881      118.82389832      118.85473633
   475        11.91170025        0.12447266      119.00524902      119.10511017
   476        11.93676662        0.12660450      119.44825745      119.35581970
   477        11.96182156        0.12516551      119.71121979      119.60625458
   478        11.98686314        0.12671110      119.65507507      119.85665131
   479        12.01200867        0.12660450      120.10018921      120.10794067
   480        12.03702259        0.12687099      120.39587402      120.35836792
   481        12.06209660        0.12777701      120.59001923      120.60901642
   482        12.08712482        0.12692428      120.84040833      120.85930634
   483        12.11220074        0.12921600      121.02954865      121.11000824
   484        12.13726425        0.12759048      121.54188538      121.36068726
   485        12.16231346        0.12953578      121.58714294      121.61121368
   486        12.18739891        0.12884293      121.84069061      121.86210632
   487        12.21244335        0.12918936      122.30223083      122.11256409
   488        12.23752785        0.12993550      122.47764587      122.36325073
   489        12.26258945        0.12977561      122.61035919      122.61391449
   490        12.28770542        0.13116130      122.83183289      122.86508179
   491        12.31283188        0.12974896      123.04481506      123.11628723
   492        12.33791065        0.13241376      123.29032135      123.36724854
   493        12.36300278        0.13060170      123.76905823      123.61809540
   494        12.38812160        0.13257365      123.93053436      123.86912537
   495        12.41318417        0.13201404      124.22941589      124.11994171
   496        12.43830109        0.13209398      124.28867340      124.37110138
   497        12.46337223        0.13339974      124.55809784      124.62180328
