 C:\WinTA100\DIL805.PRO\Data\Quenching\01_Isabelle_QP_Q328oC_P350oC_t10s_09.28.17.PAR
                Time - rel. Change in Length /  Temperature  /  Nominal Temperature 
                  s                %                    °C                    °C
   272        13.63794708        0.14528312      136.38346863      136.36761475
   273        13.68808746        0.14541690      136.77107239      136.86894226
   274        13.73828030        0.14560419      137.24395752      137.37077332
   275        13.78842926        0.14643362      137.79243469      137.87234497
   276        13.83855534        0.14691523      138.41036987      138.37356567
   277        13.88868427        0.14836001      138.89385986      138.87455750
   278        13.93881989        0.14913595      139.41244507      139.37619019
   279        13.98891926        0.14985834      139.88806152      139.87724304
   280        14.03908825        0.15025967      140.41174316      140.37890625
   281        14.08924007        0.15103558      140.88304138      140.88047791
   282        14.13938522        0.15167773      141.32565308      141.38195801
   283        14.18955803        0.15223959      141.87997437      141.88356018
   284        14.23966408        0.15328306      142.26300049      142.38478088
   285        14.28978920        0.15419275      142.92713928      142.88598633
   286        14.33998108        0.15523621      143.28364563      143.38783264
   287        14.39010715        0.15579809      144.01368713      143.88920593
   288        14.44022846        0.15617268      144.22865295      144.39042664
   289        14.49029541        0.15713589      144.82147217      144.89102173
   290        14.54037952        0.15713589      145.43487549      145.39189148
   291        14.59049225        0.15769774      145.81460571      145.89291382
   292        14.64062977        0.15916932      146.43756104      146.39422607
   293        14.69075966        0.16029304      146.90206909      146.89567566
   294        14.74088192        0.16096193      147.55787659      147.39697266
   295        14.79096699        0.16152380      147.77165222      147.89768982
   296        14.84113789        0.16184485      148.25386047      148.39947510
   297        14.89122009        0.16275457      148.79519653      148.90031433
   298        14.94131184        0.16302212      149.46539307      149.40122986
   299        14.99147511        0.16441341      149.92073059      149.90283203
   300        15.04162788        0.16540337      150.29431152      150.40422058
   301        15.09175301        0.16607225      150.96298218      150.90547180
   302        15.14192486        0.16674116      151.48811340      151.40722656
   303        15.19207096        0.16735654      152.03021240      151.90875244
   304        15.24227047        0.16732977      152.46871948      152.41072083
   305        15.29248619        0.16818595      153.01119995      152.91287231
   306        15.34259224        0.16864079      153.35984802      153.41401672
   307        15.39274979        0.17037992      153.86227417      153.91567993
   308        15.44289589        0.17088827      154.48338318      154.41694641
   309        15.49300957        0.17182472      154.86016846      154.91818237
   310        15.54308796        0.17219929      155.27021790      155.41899109
   311        15.59315395        0.17273441      155.82542419      155.91964722
   312        15.64326000        0.17302872      156.38591003      156.42073059
   313        15.69344616        0.17447352      156.99546814      156.92243958
   314        15.74351788        0.17506215      157.42608643      157.42327881
   315        15.79365921        0.17573105      158.26812744      157.92477417
   316        15.84380627        0.17680126      158.30143738      158.42608643
   317        15.89400101        0.17741664      158.95520020      158.92813110
   318        15.94408321        0.17808555      159.39030457      159.42887878
   319        15.99419498        0.17832634      160.05221558      159.92997742
   320        16.04429054        0.17915577      160.35140991      160.43098450
   321        16.09444618        0.18001194      161.07646179      160.93254089
   322        16.14452744        0.18097514      161.32946777      161.43322754
   323        16.19469070        0.18183133      161.79393005      161.93464661
   324        16.24481010        0.18239319      162.35409546      162.43620300
   325        16.29492760        0.18290155      162.98573303      162.93724060
   326        16.34506226        0.18324937      163.44223022      163.43878174
