 C:\WinTA100\DIL805.PRO\Data\Quenching\03_Isabelle_CQ60_Homogeneizado_30min_II_09.01.17.PAR
                Time - rel. Change in Length /  Temperature  /  Nominal Temperature 
                  s                %                    °C                    °C
   343         8.60378647        0.07853717       86.12850952       86.02552795
   344         8.62879276        0.07933180       86.21507263       86.27612305
   345         8.65386391        0.07943776       86.52545929       86.52674866
   346         8.67895317        0.07978210       86.76602173       86.77755737
   347         8.70403194        0.08031185       86.98371124       87.02824402
   348         8.72907639        0.08073566       87.26562500       87.27893829
   349         8.75411892        0.08155680       87.56993103       87.52928162
   350         8.77923775        0.08118596       87.80333710       87.78037262
   351         8.80433273        0.08142435       88.06291199       88.03135681
   352         8.82941532        0.08200710       88.35710144       88.28218079
   353         8.85447788        0.08187465       88.47054291       88.53278351
   354         8.87957191        0.08256334       88.70780182       88.78379059
   355         8.90465641        0.08280173       89.11318207       89.03464508
   356         8.92972660        0.08399370       89.27014160       89.28524780
   357         8.95480633        0.08356989       89.57502747       89.53611755
   358         8.97989368        0.08425858       89.73257446       89.78699493
   359         9.00501442        0.08452346       90.04869080       90.03808594
   360         9.03007507        0.08510620       90.24303436       90.28880310
   361         9.05518723        0.08521216       90.52109528       90.53990173
   362         9.08026505        0.08542405       90.84230804       90.79075623
   363         9.10538292        0.08640411       91.02276611       91.04173279
   364         9.13045216        0.08600679       91.25737000       91.29257202
   365         9.15556145        0.08680143       91.58075714       91.54376221
   366         9.18063641        0.08690739       91.89192963       91.79439545
   367         9.20568466        0.08730470       91.99640656       92.04495239
   368         9.23077106        0.08762257       92.30708313       92.29584503
   369         9.25586319        0.08741066       92.70252991       92.54670715
   370         9.28095055        0.08852316       92.81769562       92.79755402
   371         9.30602169        0.08849668       93.01715851       93.04832458
   372         9.33110809        0.08897346       93.24731445       93.29907227
   373         9.35618687        0.08899995       93.55744934       93.55002594
   374         9.38129711        0.08963566       93.74463654       93.80104828
   375         9.40636539        0.09000649       94.03243256       94.05165863
   376         9.43138695        0.09027138       94.30396271       94.30190277
   377         9.45646381        0.09109250       94.46611786       94.55272675
   378         9.48148441        0.09064221       94.80751038       94.80287170
   379         9.50656509        0.09170172       95.01821899       95.05371857
   380         9.53162956        0.09133090       95.29647827       95.30442810
   381         9.55667973        0.09217852       95.54240417       95.55484772
   382         9.58174706        0.09239043       95.93985748       95.80558777
   383         9.60686302        0.09246989       96.00971985       96.05667114
   384         9.63195610        0.09363536       96.28643036       96.30766296
   385         9.65705681        0.09326452       96.54411316       96.55872345
   386         9.68212128        0.09405917       96.86266327       96.80923462
   387         9.70724297        0.09408566       96.91976166       97.06060791
   388         9.73229885        0.09485381       97.30716705       97.31101227
   389         9.75736713        0.09474786       97.63082886       97.56163025
   390         9.78244305        0.09503923       97.81867981       97.81251526
   391         9.80751133        0.09591334       98.08311462       98.06311035
   392         9.83257484        0.09535708       98.42361450       98.31386566
   393         9.85768318        0.09628417       98.57624817       98.56488037
   394         9.88274670        0.09660202       98.94803619       98.81534576
   395         9.90778446        0.09686691       99.08622742       99.06594849
   396         9.93288326        0.09705233       99.43850708       99.31690979
   397         9.95792866        0.09797940       99.67896271       99.56726074
   398         9.98302078        0.09824429       99.87518311       99.81826782
   399        10.00807285        0.09840322      100.10282135      100.06877899
   400        10.03315067        0.09880053      100.33554077      100.31948090
   401        10.05818844        0.09927732      100.49090576      100.57003021
   402        10.08322620        0.09972762      100.73864746      100.82037354
   403        10.10834122        0.09975410      100.95401764      101.07122803
   404        10.13340759        0.09996601      101.30693054      101.32225800
   405        10.15850735        0.10036333      101.51055145      101.57317352
   406        10.18354797        0.10012494      101.71585846      101.82347107
   407        10.20863533        0.10094608      102.01061249      102.07439423
   408        10.23367500        0.10123744      102.20415497      102.32482910
   409        10.25882053        0.10250887      102.58223724      102.57614899
   410        10.28385353        0.10221750      102.80941010      102.82659912
   411        10.30890846        0.10240292      103.20938873      103.07725525
   412        10.33399391        0.10314458      103.43875122      103.32792664
   413        10.35903263        0.10335649      103.61496735      103.57833099
   414        10.38411999        0.10380678      103.77385712      103.82926941
   415        10.40916538        0.10409815      104.00829315      104.07962036
   416        10.43422985        0.10476035      104.30093384      104.33041382
   417        10.45932674        0.10441601      104.58347321      104.58134460
   418        10.48441982        0.10515767      104.95044708      104.83221436
   419        10.50948429        0.10571392      105.06578064      105.08296204
   420        10.53455257        0.10560796      105.35340881      105.33351135
   421        10.55964661        0.10627017      105.58282471      105.58457947
   422        10.58471489        0.10621719      105.88890839      105.83518219
